payment_id,customer_id,merchant_id,payment_timestamp,amount,currency,channel,device_type,is_international,days_since_last_payment,is_chargeback
P025,C001,M005,2024-01-25 09:00:00,,GBP,web,mobile,1,3.0,0
P026,C031,M008,2024-01-26 09:00:00,164.59,GBP,app,mobile,0,5.0,0
P027,C012,M008,2024-01-27 09:00:00,113.04,GBP,web,desktop,1,1.0,1
P028,C025,M005,2024-01-28 09:00:00,122.85,GBP,app,mobile,0,8.0,0
P029,C031,M009,2024-01-29 09:00:00,126.63,GBP,app,mobile,0,6.0,0
P030,C019,M007,2024-01-30 09:00:00,194.45,GBP,app,mobile,0,3.0,0
P031,C021,M005,2024-01-31 09:00:00,94.3,GBP,app,mobile,0,4.0,0
P032,C003,M005,2024-02-01 09:00:00,98.04,GBP,web,mobile,1,0.0,1
P033,C003,M009,2024-02-02 09:00:00,107.91,GBP,partner,,1,4.0,0
P034,C022,M001,2024-02-03 09:00:00,109.21,GBP,app,mobile,0,8.0,0
P035,C008,M005,2024-02-04 09:00:00,87.14,GBP,web,mobile,0,2.0,0
P036,C017,M001,2024-02-05 09:00:00,59.02,GBP,web,mobile,0,5.0,1
P037,C010,M002,2024-02-06 09:00:00,132.06,GBP,app,desktop,0,4.0,0
P038,C031,M003,2024-02-07 09:00:00,166.99,GBP,web,mobile,1,,1
P039,C033,M003,2024-02-08 09:00:00,164.73,GBP,app,mobile,0,3.0,0
P040,C008,M006,2024-02-09 09:00:00,79.95,GBP,web,mobile,0,3.0,0
P041,C013,M006,2024-02-10 09:00:00,132.08,GBP,web,mobile,1,4.0,1
P042,C032,M009,2024-02-11 09:00:00,80.22,GBP,web,mobile,0,5.0,0
P043,C013,M002,2024-02-12 09:00:00,99.54,GBP,web,mobile,0,2.0,0
P044,C004,M001,2024-02-13 09:00:00,125.33,GBP,app,mobile,0,5.0,0
P045,C003,M007,2024-02-14 09:00:00,186.63,GBP,web,mobile,0,2.0,1
P046,C013,M007,2024-02-15 09:00:00,147.42,GBP,app,desktop,0,2.0,1
P047,C003,M007,2024-02-16 09:00:00,119.62,GBP,web,mobile,0,3.0,0
P048,C011,M002,2024-02-17 09:00:00,161.32,GBP,app,desktop,1,3.0,0
P049,C003,M007,2024-02-18 09:00:00,237.65,GBP,app,desktop,1,3.0,1
P050,C008,M006,2024-02-19 09:00:00,164.17,GBP,,mobile,0,3.0,0
P051,C021,M001,2024-02-20 09:00:00,106.94,GBP,call_center,mobile,0,5.0,1
P052,C022,M002,2024-02-21 09:00:00,175.68,GBP,app,mobile,0,2.0,1
P053,C012,M008,2024-02-22 09:00:00,120.63,GBP,web,desktop,1,0.0,1
P054,C012,M004,2024-02-23 09:00:00,113.98,GBP,web,mobile,0,4.0,0
P055,C003,M002,2024-02-24 09:00:00,120.24,GBP,web,mobile,0,1.0,0
P056,C004,M005,2024-02-25 09:00:00,92.58,GBP,partner,desktop,0,6.0,0
P057,C014,M003,2024-02-26 09:00:00,162.32,GBP,web,mobile,1,2.0,1
P058,C021,M008,2024-02-27 09:00:00,163.99,GBP,web,desktop,0,6.0,0
P059,C007,M005,2024-02-28 09:00:00,100.2,GBP,partner,mobile,1,1.0,1
P060,C029,M008,2024-02-29 09:00:00,146.45,GBP,app,mobile,1,2.0,1
P061,C005,M006,2024-03-01 09:00:00,132.84,GBP,web,mobile,1,5.0,0
P062,C030,M009,2024-03-02 09:00:00,174.15,GBP,app,mobile,0,,1
P063,C002,M002,2024-03-03 09:00:00,108.31,GBP,partner,,1,3.0,0
P064,C013,M008,2024-03-04 09:00:00,138.46,GBP,web,desktop,1,3.0,0
P065,C024,M009,2024-03-05 09:00:00,137.87,GBP,call_center,mobile,0,4.0,0
P066,C016,M009,2024-03-06 09:00:00,121.4,GBP,web,mobile,0,5.0,1
P067,C024,M009,2024-03-07 09:00:00,124.82,GBP,web,desktop,1,4.0,0
P068,C032,M004,2024-03-08 09:00:00,136.77,GBP,web,mobile,1,0.0,1
P069,C022,M006,2024-03-09 09:00:00,110.85,GBP,web,desktop,1,0.0,1
P070,C027,M004,2024-03-10 09:00:00,169.83,GBP,web,desktop,0,6.0,0
P071,C034,M002,2024-03-11 09:00:00,149.14,GBP,app,mobile,0,1.0,0
P072,C018,M001,2024-03-12 09:00:00,156.4,GBP,web,mobile,0,2.0,1
P073,C021,M001,2024-03-13 09:00:00,102.62,GBP,web,desktop,1,2.0,0
P074,C013,M008,2024-03-14 09:00:00,156.14,GBP,web,mobile,0,7.0,0
P075,C030,M003,2024-03-15 09:00:00,151.07,GBP,web,,0,3.0,0
P076,C012,M008,2024-03-16 09:00:00,154.26,GBP,web,mobile,1,2.0,1
P077,C018,M001,2024-03-17 09:00:00,165.23,GBP,web,desktop,1,3.0,1
P078,C035,M009,2024-03-18 09:00:00,143.54,GBP,partner,desktop,0,5.0,0
P079,C025,M002,2024-03-19 09:00:00,148.89,GBP,call_center,mobile,0,,0
P080,C012,M001,2024-03-20 09:00:00,172.53,GBP,partner,mobile,1,4.0,0
P081,C021,M005,2024-03-21 09:00:00,85.87,GBP,app,mobile,0,2.0,0
P082,C008,M006,2024-03-22 09:00:00,148.26,GBP,call_center,mobile,1,5.0,1
P083,C034,M005,2024-03-23 09:00:00,63.42,GBP,web,mobile,0,4.0,1
P084,C014,M001,2024-03-24 09:00:00,72.4,GBP,web,mobile,0,7.0,0
P085,C007,M006,2024-03-25 09:00:00,136.47,GBP,web,,1,2.0,0
P086,C021,M006,2024-03-26 09:00:00,143.82,GBP,partner,mobile,0,3.0,0
P087,C036,M002,2024-03-27 09:00:00,143.65,GBP,app,desktop,0,5.0,0
P088,C028,M006,2024-03-28 09:00:00,88.56,GBP,web,desktop,0,2.0,1
P089,C021,M005,2024-03-29 09:00:00,85.7,GBP,call_center,mobile,0,7.0,0
P090,C002,M009,2024-03-30 09:00:00,140.11,GBP,web,mobile,0,8.0,0
P091,C020,M004,2024-03-31 09:00:00,111.81,GBP,app,desktop,0,3.0,0
P092,C014,M002,2024-04-01 09:00:00,,GBP,app,mobile,1,3.0,1
P093,C004,M002,2024-04-02 09:00:00,112.78,GBP,web,desktop,0,5.0,0
P094,C031,M007,2024-04-03 09:00:00,187.0,GBP,partner,mobile,1,5.0,1
P095,C006,M008,2024-04-04 09:00:00,111.06,GBP,app,mobile,0,9.0,1
P096,C031,M008,2024-04-05 09:00:00,163.2,GBP,app,mobile,1,4.0,1
P097,C029,M004,2024-04-06 09:00:00,134.87,GBP,web,mobile,1,0.0,1
P098,C019,M009,2024-04-07 09:00:00,94.19,GBP,app,mobile,0,5.0,0
P099,C036,M002,2024-04-08 09:00:00,58.27,GBP,app,mobile,0,5.0,0
P100,C011,M001,2024-04-09 09:00:00,77.16,GBP,web,desktop,0,5.0,1
P101,C008,M005,2024-04-10 09:00:00,114.25,GBP,web,mobile,0,8.0,0
P102,C007,M001,2024-04-11 09:00:00,26.93,GBP,,desktop,0,7.0,0
P103,C009,M004,2024-04-12 09:00:00,124.64,GBP,partner,mobile,0,,1
P104,C011,M005,2024-04-13 09:00:00,127.47,GBP,partner,desktop,1,2.0,1
P105,C008,M002,2024-04-14 09:00:00,116.85,GBP,partner,mobile,0,3.0,0
P106,C009,M001,2024-04-15 09:00:00,90.74,GBP,,mobile,0,3.0,0
P107,C011,M001,2024-04-16 09:00:00,94.56,GBP,partner,mobile,0,6.0,0
P108,C015,M005,2024-04-17 09:00:00,145.31,GBP,web,desktop,1,6.0,0
P109,C002,M004,2024-04-18 09:00:00,96.06,GBP,web,mobile,0,3.0,1
P110,C005,M002,2024-04-19 09:00:00,179.38,GBP,app,desktop,0,2.0,1
P111,C019,M002,2024-04-20 09:00:00,143.77,GBP,app,desktop,0,3.0,1
P112,C001,M001,2024-04-21 09:00:00,92.56,GBP,web,mobile,0,7.0,0
P113,C013,M002,2024-04-22 09:00:00,145.38,GBP,web,mobile,1,,0
P114,C005,M004,2024-04-23 09:00:00,111.69,GBP,,mobile,0,7.0,0
P115,C017,M008,2024-04-24 09:00:00,115.64,GBP,web,desktop,0,7.0,0
P116,C004,M006,2024-04-25 09:00:00,162.32,GBP,web,desktop,1,5.0,0
P117,C024,M008,2024-04-26 09:00:00,115.22,GBP,,mobile,0,6.0,0
P118,C026,M005,2024-04-27 09:00:00,108.66,GBP,app,mobile,0,7.0,0
P119,C009,M004,2024-04-28 09:00:00,149.9,GBP,web,desktop,0,8.0,0
P120,C028,M005,2024-04-29 09:00:00,64.4,GBP,app,desktop,0,4.0,0
P121,C025,M003,2024-04-30 09:00:00,186.5,GBP,call_center,desktop,1,,1
P122,C020,M008,2024-05-01 09:00:00,105.42,GBP,web,desktop,1,1.0,1
P123,C036,M008,2024-05-02 09:00:00,88.91,GBP,web,mobile,0,6.0,0
P124,C026,M007,2024-05-03 09:00:00,135.34,GBP,partner,desktop,0,1.0,0
P125,C008,M008,2024-05-04 09:00:00,112.71,GBP,web,mobile,0,4.0,0
P126,C011,M004,2024-05-05 09:00:00,146.02,GBP,,mobile,0,6.0,0
P127,C032,M006,2024-05-06 09:00:00,151.53,GBP,web,desktop,1,5.0,0
P128,C015,M008,2024-05-07 09:00:00,108.35,GBP,,desktop,0,5.0,0
P129,C036,M008,2024-05-08 09:00:00,,GBP,partner,mobile,1,,1
P130,C033,M009,2024-05-09 09:00:00,,GBP,web,mobile,0,4.0,0
P131,C014,M008,2024-05-10 09:00:00,89.44,GBP,partner,desktop,0,4.0,0
P132,C015,M008,2024-05-11 09:00:00,121.29,GBP,web,mobile,0,9.0,0
P133,C012,M009,2024-05-12 09:00:00,146.73,GBP,,mobile,0,4.0,0
P134,C004,M006,2024-05-13 09:00:00,93.8,GBP,app,mobile,0,3.0,1
P135,C005,M008,2024-05-14 09:00:00,145.03,GBP,web,desktop,0,2.0,1
P136,C008,M003,2024-05-15 09:00:00,166.13,GBP,partner,mobile,0,3.0,1
P137,C030,M006,2024-05-16 09:00:00,112.36,GBP,partner,,0,,0
P138,C011,M003,2024-05-17 09:00:00,132.97,GBP,web,mobile,1,2.0,0
P139,C036,M003,2024-05-18 09:00:00,153.57,GBP,partner,mobile,0,5.0,0
P140,C006,M009,2024-05-19 09:00:00,,GBP,web,desktop,1,6.0,0
P141,C005,M008,2024-05-20 09:00:00,110.33,GBP,web,desktop,1,4.0,0
P142,C025,M004,2024-05-21 09:00:00,136.25,GBP,app,desktop,0,3.0,0
P143,C034,M006,2024-05-22 09:00:00,142.77,GBP,partner,desktop,0,1.0,1
P144,C024,M008,2024-05-23 09:00:00,103.74,GBP,web,mobile,0,3.0,0
P145,C018,M008,2024-05-24 09:00:00,165.34,GBP,partner,desktop,1,0.0,1
P146,C008,M009,2024-05-25 09:00:00,127.67,GBP,app,mobile,1,1.0,1
P147,C023,M002,2024-05-26 09:00:00,128.67,GBP,web,mobile,0,2.0,1
P148,C031,M001,2024-05-27 09:00:00,90.24,GBP,web,mobile,0,5.0,0
P149,C026,M008,2024-05-28 09:00:00,76.04,GBP,web,mobile,0,6.0,0
P150,C016,M006,2024-05-29 09:00:00,192.72,GBP,web,mobile,0,4.0,0
P151,C035,M008,2024-05-30 09:00:00,189.66,GBP,call_center,mobile,1,1.0,1
P152,C005,M006,2024-05-31 09:00:00,136.75,GBP,partner,desktop,1,3.0,1
P153,C032,M003,2024-06-01 09:00:00,98.5,GBP,web,mobile,0,1.0,1
P154,C016,M009,2024-06-02 09:00:00,148.67,GBP,partner,mobile,0,2.0,1
P155,C026,M009,2024-06-03 09:00:00,126.68,GBP,partner,mobile,0,9.0,1
P156,C002,M006,2024-06-04 09:00:00,147.6,GBP,web,mobile,1,2.0,0
P157,C022,M005,2024-06-05 09:00:00,145.02,GBP,,mobile,0,8.0,1
P158,C019,M007,2024-06-06 09:00:00,162.64,GBP,app,desktop,0,2.0,0
P159,C005,M003,2024-06-07 09:00:00,148.08,GBP,app,mobile,0,5.0,0
P160,C034,M006,2024-06-08 09:00:00,113.34,GBP,web,desktop,0,2.0,0
P161,C001,M003,2024-06-09 09:00:00,92.41,GBP,app,mobile,0,5.0,1
P162,C006,M007,2024-06-10 09:00:00,200.15,GBP,partner,mobile,0,6.0,1
P163,C031,M002,2024-06-11 09:00:00,142.26,GBP,web,mobile,1,1.0,1
P164,C003,M005,2024-06-12 09:00:00,144.3,GBP,app,desktop,0,4.0,0
P165,C012,M006,2024-06-13 09:00:00,200.99,GBP,app,mobile,1,0.0,1
P166,C032,M003,2024-06-14 09:00:00,212.39,GBP,web,mobile,1,0.0,0
P167,C001,M004,2024-06-15 09:00:00,127.13,GBP,app,mobile,1,1.0,1
P168,C002,M003,2024-06-16 09:00:00,77.96,GBP,app,mobile,0,6.0,1
P169,C021,M002,2024-06-17 09:00:00,167.16,GBP,web,mobile,0,2.0,1
P170,C009,M005,2024-06-18 09:00:00,138.41,GBP,app,desktop,1,4.0,0
P171,C013,M002,2024-06-19 09:00:00,74.91,GBP,partner,mobile,0,4.0,0
P172,C012,M004,2024-06-20 09:00:00,195.44,GBP,partner,mobile,1,3.0,1
P173,C007,M008,2024-06-21 09:00:00,89.69,GBP,web,mobile,0,3.0,0
P174,C008,M005,2024-06-22 09:00:00,73.75,GBP,web,desktop,0,9.0,1
P175,C009,M009,2024-06-23 09:00:00,74.81,GBP,call_center,mobile,0,4.0,0
P176,C008,M003,2024-06-24 09:00:00,165.94,GBP,web,desktop,0,,0
P177,C028,M001,2024-06-25 09:00:00,118.28,GBP,web,mobile,0,,0
P178,C033,M006,2024-06-26 09:00:00,150.75,GBP,call_center,desktop,1,,0
P179,C027,M009,2024-06-27 09:00:00,,GBP,partner,desktop,0,7.0,0
P180,C029,M006,2024-06-28 09:00:00,117.04,GBP,app,mobile,0,2.0,1
P181,C035,M005,2024-06-29 09:00:00,98.59,GBP,web,mobile,0,9.0,0
P182,C004,M004,2024-06-30 09:00:00,134.44,GBP,web,,1,6.0,1
P183,C028,M003,2024-07-01 09:00:00,116.82,GBP,partner,mobile,0,5.0,0
P184,C021,M004,2024-07-02 09:00:00,,GBP,,mobile,1,3.0,1
P185,C020,M008,2024-07-03 09:00:00,155.24,GBP,web,mobile,0,7.0,0
P186,C036,M002,2024-07-04 09:00:00,57.43,GBP,partner,mobile,0,5.0,0
P187,C035,M006,2024-07-05 09:00:00,103.99,GBP,web,desktop,0,9.0,0
P188,C006,M009,2024-07-06 09:00:00,94.15,GBP,app,mobile,0,3.0,0
P189,C004,M001,2024-07-07 09:00:00,62.02,GBP,web,mobile,0,3.0,1
P190,C030,M003,2024-07-08 09:00:00,113.24,GBP,web,mobile,0,7.0,0
P191,C014,M002,2024-07-09 09:00:00,122.5,GBP,call_center,desktop,0,3.0,0
P192,C019,M002,2024-07-10 09:00:00,119.83,GBP,call_center,desktop,0,6.0,0
P193,C004,M008,2024-07-11 09:00:00,111.41,GBP,partner,mobile,0,5.0,0
P194,C007,M006,2024-07-12 09:00:00,140.76,GBP,partner,mobile,0,3.0,0
P195,C020,M009,2024-07-13 09:00:00,117.36,GBP,app,mobile,0,3.0,0
P196,C016,M004,2024-07-14 09:00:00,,GBP,partner,mobile,0,2.0,1
P197,C036,M005,2024-07-15 09:00:00,119.0,GBP,web,mobile,0,5.0,0
P198,C026,M001,2024-07-16 09:00:00,106.32,GBP,app,desktop,0,8.0,0
P199,C007,M002,2024-07-17 09:00:00,93.38,GBP,web,mobile,0,4.0,0
P200,C017,M008,2024-07-18 09:00:00,114.96,GBP,app,mobile,0,5.0,1
P201,C018,M008,2024-07-19 09:00:00,127.79,GBP,web,,0,2.0,1
P202,C016,M007,2024-07-20 09:00:00,130.99,GBP,call_center,mobile,0,2.0,1
P203,C006,M008,2024-07-21 09:00:00,,GBP,web,mobile,0,8.0,0
P204,C003,M006,2024-07-22 09:00:00,103.78,GBP,app,desktop,0,9.0,0
P205,C018,M005,2024-07-23 09:00:00,96.7,GBP,,desktop,1,3.0,0
P206,C015,M002,2024-07-24 09:00:00,94.7,GBP,web,mobile,0,5.0,0
P207,C026,M005,2024-07-25 09:00:00,115.34,GBP,partner,desktop,0,6.0,0
P208,C016,M009,2024-07-26 09:00:00,107.9,GBP,,desktop,0,3.0,0
P209,C035,M002,2024-07-27 09:00:00,88.5,GBP,app,desktop,0,5.0,0
P210,C008,M009,2024-07-28 09:00:00,180.18,GBP,web,desktop,1,2.0,1
P211,C011,M003,2024-07-29 09:00:00,160.09,GBP,web,desktop,1,2.0,1
P212,C022,M006,2024-07-30 09:00:00,66.85,GBP,web,mobile,0,3.0,0
P213,C010,M002,2024-07-31 09:00:00,112.31,GBP,,desktop,1,4.0,1
P214,C029,M006,2024-08-01 09:00:00,109.91,GBP,app,mobile,0,3.0,0
P215,C026,M002,2024-08-02 09:00:00,76.85,GBP,web,mobile,0,,0
P216,C012,M002,2024-08-03 09:00:00,142.4,GBP,web,desktop,1,5.0,0
P217,C021,M008,2024-08-04 09:00:00,120.02,GBP,web,desktop,0,1.0,1
P218,C008,M001,2024-08-05 09:00:00,71.37,GBP,web,mobile,0,,0
P219,C025,M002,2024-08-06 09:00:00,109.26,GBP,call_center,mobile,0,5.0,0
P220,C008,M002,2024-08-07 09:00:00,80.21,GBP,partner,mobile,0,1.0,1
P221,C025,M005,2024-08-08 09:00:00,92.9,GBP,partner,desktop,0,4.0,0
P222,C019,M002,2024-08-09 09:00:00,151.04,GBP,web,mobile,1,0.0,1
P223,C021,M007,2024-08-10 09:00:00,187.22,GBP,web,desktop,0,3.0,0
P224,C011,M006,2024-08-11 09:00:00,112.7,GBP,call_center,mobile,0,6.0,0
P225,C010,M008,2024-08-12 09:00:00,109.63,GBP,web,mobile,0,7.0,0
P226,C006,M009,2024-08-13 09:00:00,110.16,GBP,,mobile,0,3.0,0
P227,C028,M001,2024-08-14 09:00:00,67.09,GBP,app,desktop,0,4.0,0
P228,C018,M009,2024-08-15 09:00:00,116.89,GBP,app,desktop,0,4.0,1
P229,C033,M002,2024-08-16 09:00:00,165.73,GBP,web,mobile,0,6.0,0
P230,C029,M002,2024-08-17 09:00:00,142.28,GBP,partner,,1,3.0,1
P231,C001,M006,2024-08-18 09:00:00,159.37,GBP,call_center,mobile,1,0.0,1
P232,C026,M006,2024-08-19 09:00:00,146.48,GBP,app,desktop,1,1.0,1
P233,C035,M008,2024-08-20 09:00:00,185.04,GBP,web,mobile,0,4.0,0
P234,C031,M009,2024-08-21 09:00:00,98.38,GBP,app,mobile,0,,1
P235,C016,M002,2024-08-22 09:00:00,138.8,GBP,web,mobile,0,2.0,0
P236,C004,M009,2024-08-23 09:00:00,84.44,GBP,app,desktop,0,1.0,1
P237,C020,M003,2024-08-24 09:00:00,180.34,GBP,partner,desktop,0,3.0,1
P238,C002,M002,2024-08-25 09:00:00,174.32,GBP,,desktop,1,1.0,0
P239,C003,M009,2024-08-26 09:00:00,131.73,GBP,partner,mobile,0,6.0,0
P240,C024,M005,2024-08-27 09:00:00,116.19,GBP,partner,desktop,0,7.0,0
P241,C030,M004,2024-08-28 09:00:00,127.38,GBP,web,mobile,0,,0
P242,C027,M004,2024-08-29 09:00:00,148.93,GBP,web,desktop,0,8.0,0
P243,C017,M009,2024-08-30 09:00:00,136.7,GBP,web,desktop,1,1.0,1
P244,C025,M007,2024-08-31 09:00:00,157.28,GBP,app,desktop,1,1.0,1
P245,C014,M007,2024-09-01 09:00:00,132.94,GBP,app,mobile,1,2.0,1
P246,C018,M008,2024-09-02 09:00:00,151.6,GBP,app,desktop,0,2.0,1
P247,C015,M004,2024-09-03 09:00:00,144.29,GBP,app,,1,4.0,1
P248,C033,M008,2024-09-04 09:00:00,75.7,GBP,app,desktop,0,6.0,0
P249,C015,M005,2024-09-05 09:00:00,76.31,GBP,web,mobile,0,,0
P250,C010,M005,2024-09-06 09:00:00,86.68,GBP,app,desktop,0,,0
P251,C017,M002,2024-09-07 09:00:00,150.78,GBP,app,,1,6.0,1
P252,C011,M005,2024-09-08 09:00:00,112.24,GBP,partner,desktop,0,6.0,0
P253,C013,M002,2024-09-09 09:00:00,123.19,GBP,call_center,mobile,0,4.0,0
P254,C002,M004,2024-09-10 09:00:00,154.2,GBP,web,mobile,0,0.0,1
P255,C009,M002,2024-09-11 09:00:00,105.96,GBP,web,mobile,0,6.0,0
P256,C006,M007,2024-09-12 09:00:00,160.87,GBP,app,mobile,1,1.0,1
P257,C009,M006,2024-09-13 09:00:00,99.47,GBP,app,desktop,0,6.0,0
P258,C010,M005,2024-09-14 09:00:00,160.6,GBP,partner,mobile,1,1.0,1
P259,C014,M008,2024-09-15 09:00:00,158.69,GBP,web,desktop,0,5.0,0
P260,C020,M005,2024-09-16 09:00:00,96.66,GBP,app,mobile,0,6.0,0
P261,C012,M002,2024-09-17 09:00:00,118.24,GBP,partner,desktop,0,3.0,0
P262,C001,M004,2024-09-18 09:00:00,143.2,GBP,web,desktop,0,8.0,0
P263,C025,M009,2024-09-19 09:00:00,199.38,GBP,app,mobile,1,5.0,1
P264,C008,M001,2024-09-20 09:00:00,150.07,GBP,app,mobile,1,,0
P265,C011,M003,2024-09-21 09:00:00,168.86,GBP,web,mobile,0,0.0,1
P266,C032,M005,2024-09-22 09:00:00,147.54,GBP,web,,0,4.0,0
P267,C020,M004,2024-09-23 09:00:00,130.07,GBP,app,desktop,0,10.0,0
P268,C035,M009,2024-09-24 09:00:00,157.41,GBP,web,mobile,1,0.0,1
P269,C025,M003,2024-09-25 09:00:00,114.17,GBP,app,mobile,0,4.0,0
P270,C034,M002,2024-09-26 09:00:00,156.95,GBP,partner,desktop,1,4.0,1
P271,C028,M003,2024-09-27 09:00:00,118.72,GBP,web,desktop,0,2.0,0
P272,C004,M002,2024-09-28 09:00:00,120.07,GBP,call_center,desktop,1,2.0,1
P273,C010,M008,2024-09-29 09:00:00,110.51,GBP,web,mobile,0,,0
P274,C018,M009,2024-09-30 09:00:00,127.28,GBP,web,mobile,0,8.0,0
P275,C019,M002,2024-10-01 09:00:00,136.88,GBP,partner,desktop,0,3.0,0
P276,C027,M009,2024-10-02 09:00:00,98.62,GBP,app,desktop,0,4.0,0
P277,C022,M001,2024-10-03 09:00:00,100.24,GBP,app,desktop,0,7.0,0
P278,C009,M001,2024-10-04 09:00:00,47.33,GBP,,desktop,0,9.0,0
P279,C006,M002,2024-10-05 09:00:00,122.96,GBP,call_center,mobile,1,5.0,1
P280,C003,M001,2024-10-06 09:00:00,125.66,GBP,web,mobile,0,1.0,1
P281,C031,M006,2024-10-07 09:00:00,125.67,GBP,partner,mobile,0,4.0,1
P282,C008,M002,2024-10-08 09:00:00,112.36,GBP,partner,mobile,0,3.0,0
P283,C025,M006,2024-10-09 09:00:00,100.02,GBP,app,mobile,0,8.0,0
P284,C030,M003,2024-10-10 09:00:00,133.77,GBP,,desktop,0,5.0,0
P285,C006,M004,2024-10-11 09:00:00,145.24,GBP,web,desktop,1,0.0,1
P286,C027,M001,2024-10-12 09:00:00,86.67,GBP,call_center,mobile,0,2.0,1
P287,C022,M006,2024-10-13 09:00:00,116.69,GBP,web,desktop,0,2.0,1
P288,C035,M002,2024-10-14 09:00:00,91.07,GBP,partner,desktop,0,8.0,0
P289,C022,M005,2024-10-15 09:00:00,153.38,GBP,web,mobile,0,,0
P290,C036,M006,2024-10-16 09:00:00,119.79,GBP,partner,mobile,0,7.0,0
P291,C024,M009,2024-10-17 09:00:00,127.87,GBP,app,mobile,0,6.0,0
P292,C015,M006,2024-10-18 09:00:00,163.05,GBP,web,desktop,1,3.0,0
P293,C018,M003,2024-10-19 09:00:00,141.98,GBP,partner,mobile,0,5.0,1
P294,C030,M005,2024-10-20 09:00:00,115.83,GBP,call_center,desktop,0,5.0,0
P295,C036,M004,2024-10-21 09:00:00,132.77,GBP,app,mobile,0,4.0,1
P296,C004,M004,2024-10-22 09:00:00,155.29,GBP,,desktop,1,4.0,1
P297,C023,M006,2024-10-23 09:00:00,137.35,GBP,web,desktop,0,4.0,0
P298,C001,M005,2024-10-24 09:00:00,95.29,GBP,web,mobile,0,5.0,0
P299,C031,M002,2024-10-25 09:00:00,131.1,GBP,app,mobile,0,0.0,1
P300,C017,M009,2024-10-26 09:00:00,161.4,GBP,web,desktop,1,5.0,0
P301,C027,M005,2024-10-27 09:00:00,65.11,GBP,partner,mobile,0,8.0,0
P302,C026,M009,2024-10-28 09:00:00,121.41,GBP,partner,desktop,0,5.0,0
P303,C015,M005,2024-10-29 09:00:00,108.53,GBP,web,mobile,1,2.0,1
P304,C001,M003,2024-10-30 09:00:00,146.86,GBP,partner,desktop,0,1.0,0
P305,C007,M006,2024-10-31 09:00:00,104.21,GBP,call_center,mobile,0,2.0,1
P306,C022,M003,2024-11-01 09:00:00,174.6,GBP,,desktop,1,1.0,0
P307,C007,M007,2024-11-02 09:00:00,70.25,GBP,web,mobile,0,2.0,0
P308,C023,M001,2024-11-03 09:00:00,96.37,GBP,call_center,desktop,1,5.0,0
P309,C026,M004,2024-11-04 09:00:00,,GBP,partner,mobile,0,3.0,1
P310,C003,M002,2024-11-05 09:00:00,172.33,GBP,web,desktop,0,5.0,0
P311,C031,M009,2024-11-06 09:00:00,145.17,GBP,web,mobile,0,6.0,1
P312,C026,M008,2024-11-07 09:00:00,136.32,GBP,call_center,desktop,1,3.0,1
P313,C031,M002,2024-11-08 09:00:00,132.51,GBP,call_center,desktop,0,3.0,0
P314,C012,M007,2024-11-09 09:00:00,125.16,GBP,partner,desktop,0,5.0,1
P315,C035,M006,2024-11-10 09:00:00,126.32,GBP,partner,desktop,0,0.0,0
P316,C035,M009,2024-11-11 09:00:00,127.26,GBP,web,mobile,0,1.0,1
